区,幼儿园名称,办园性质,举办者,幼儿园地址,source_row,geocode_query,lon_wgs84,lat_wgs84,geocode_status
海淀区,北京市清华洁华幼儿园,事业单位,事业单位,北京市海淀区清华大学校内洁华幼儿园,99,北京市海淀区清华大学校内洁华幼儿园,116.320793,40.0019,ok
海淀区,北京市清华洁华幼儿园双清苑分园,事业单位,事业单位,北京市 海淀区双清路双清苑小区,100,北京市 海淀区双清路双清苑小区,116.336015,40.013477,ok
海淀区,中国人民解放军国防大学幼儿园（红山园）,部队,部队,红山口甲3号国防大学,101,北京市红山口甲3号国防大学,116.257758,40.013622,ok
海淀区,中国人民解放军95968部队幼儿园,部队,部队,北京市海淀区昆明湖南路甲7号院,102,北京市海淀区昆明湖南路甲7号院,116.26774,39.96527,ok
海淀区,中国人民解放军军事科学院幼儿园（复兴园）,部队,部队,北京市海淀区太平路27号院,103,北京市海淀区太平路27号院,116.260586,39.899852,ok
海淀区,中央军委机关事务管理总局红星幼儿园（五棵松园）,部队,部队,北京市海淀区复兴路26号院,104,北京市海淀区复兴路26号院,116.273898,39.901911,ok
海淀区,空军指挥学院蓝天幼儿园,部队,部队,北京市海淀区北四环西路88号,105,北京市海淀区北四环西路88号,116.306665,39.983707,ok
海淀区,中国人民解放军61886部队幼儿园,部队,部队,北京市海淀区信息路33号,106,北京市海淀区信息路33号,116.307317,40.023769,ok
海淀区,北京航空航天大学幼儿园,事业单位,事业单位,北京市海淀区学院路37号,107,北京市海淀区学院路37号,116.344749,39.979269,ok
海淀区,首都师范大学附属幼儿园,事业单位,事业单位,海淀区西三环北路105号,108,北京市海淀区西三环北路105号,116.303102,39.927386,ok
海淀区,首都师范大学附属幼儿园八宝庄分园,事业单位,事业单位,北京市海淀区八宝庄33号,109,北京市海淀区八宝庄33号,116.286134,39.920723,ok
海淀区,北京大学医学部幼儿园,事业单位,事业单位,北京市海淀区学院路38号,110,北京市海淀区学院路38号,116.351698,39.983387,ok
海淀区,北京市海淀区幼辰幼儿园,民办,民办,海淀区清河小营阳光北里1号楼,111,北京市海淀区清河小营阳光北里1号楼,116.33021,40.036819,ok
海淀区,北京市海淀区布朗幼儿园,民办,民办,北京市海淀区魏公街1号韦伯豪家园10号楼,112,北京市海淀区魏公街1号韦伯豪家园10号楼,116.312835,39.952712,ok
海淀区,北京市海淀区美华彩苑外国语幼儿园,民办,民办,北京市海淀区北坞村路23号,113,北京市海淀区北坞村路23号,116.24867,39.978596,ok
海淀区,北京市海淀区凯蒂幼儿园,民办,民办,北京市海淀区西二旗西路2号院86号楼,114,北京市海淀区西二旗西路2号院86号楼,116.307015,40.05222,ok
海淀区,北京市海淀区锦绣明天莲宝幼儿园,民办,民办,北京市海淀区吴家村路10号院甲1号楼,115,北京市海淀区吴家村路10号院甲1号楼,116.291237,39.887751,ok
海淀区,北京市海淀区上庄科技园区幼儿园,教育部门,地级教育部门,北京市海淀区三嘉南街41号院,116,北京市海淀区三嘉南街41号院,116.197942,40.125142,ok
海淀区,北京市海淀区立新幼儿园,教育部门,地级教育部门,田村砂石厂路柳明家园西区38号,117,北京市田村砂石厂路柳明家园西区38号,116.231634,39.921827,ok
海淀区,北京市海淀区立新幼儿园环保园分园,教育部门,地级教育部门,温泉镇地锦路阅西山家园9号楼,118,北京市温泉镇地锦路阅西山家园9号楼,116.15984,40.056463,ok
海淀区,北京市海淀区立新幼儿园环保园分园分址,教育部门,地级教育部门,温泉镇地锦路阅西山家园小区2号楼,119,北京市温泉镇地锦路阅西山家园小区2号楼,116.15984,40.056463,ok
海淀区,北京市海淀区立新幼儿园温泉园,教育部门,地级教育部门,北京市海淀区温泉镇杨家庄,120,北京市海淀区温泉镇杨家庄,116.184372,40.041071,ok
海淀区,钢铁研究总院幼儿园,其他部门,省级其他部门,北京市海淀区高粱桥斜街13号院甲27号,121,北京市海淀区高粱桥斜街13号院甲27号,116.32895,39.948663,ok
海淀区,北京馨星幼儿园,集体,集体,四季青镇香山南路实验四小旁,122,北京市四季青镇香山南路实验四小旁,116.201316,39.965019,ok
海淀区,中国农业科学院幼儿园,事业单位,事业单位,中关村南大街12号,123,北京市中关村南大街12号,116.322129,39.958971,ok
海淀区,中国铁道科学研究院集团有限公司幼儿园,事业单位,事业单位,海淀区西直门外大柳树路2号,124,北京市海淀区西直门外大柳树路2号,116.334795,39.955274,ok
海淀区,中国人民解放军海军机关幼儿园,部队,部队,北京市海淀区西三环中路19号,125,北京市海淀区西三环中路19号,116.303631,39.902731,ok
海淀区,北京市海淀区太阳幼儿园,民办,民办,北京市海淀区大钟寺太阳园小区7号楼,126,北京市海淀区大钟寺太阳园小区7号楼,116.333221,39.969095,ok
海淀区,北京市海淀区太阳幼儿园（太月园）,民办,民办,北京市海淀区太阳幼儿园（太月园）,127,北京市海淀区太阳幼儿园（太月园）,116.334445,39.969695,ok
海淀区,北京五色土幼儿园,地方企业,省级其他部门,北京市海淀区三里河路五号院内,128,北京市海淀区三里河路五号院内,116.307986,39.959961,ok
海淀区,兵器工业机关服务中心幼儿园,事业单位,事业单位,北京市海淀区车道沟十号院兵器社区,129,北京市海淀区车道沟十号院兵器社区,116.339244,39.971052,ok
海淀区,中国人民大学幼儿园,事业单位,事业单位,北京市海淀区蓝靛厂中路19号,130,北京市海淀区蓝靛厂中路19号,116.279435,39.963404,ok
海淀区,中国人民大学幼儿园西三旗分园,事业单位,事业单位,北京市海淀区西三旗菁盈路6号院,131,北京市海淀区西三旗菁盈路6号院,116.350484,40.059065,ok
海淀区,中国人民大学幼儿园苏州街分园,事业单位,事业单位,海淀区苏州街三号大河庄苑8号楼,132,北京市海淀区苏州街三号大河庄苑8号楼,116.299275,39.980483,ok
海淀区,中国人民大学幼儿园田村分园,事业单位,事业单位,北京市海淀区田村路43号,133,北京市海淀区田村路43号,116.248036,39.929405,ok
海淀区,中国人民解放军32069部队机关幼儿园,部队,部队,海淀区厢红旗,134,北京市海淀区厢红旗,116.248818,40.002542,ok
海淀区,北京理工大学幼儿园,事业单位,事业单位,海淀区中关村南大街5号院,135,北京市海淀区中关村南大街5号院,116.307986,39.959961,ok
海淀区,北京市银河之星幼儿园,地方企业,省级其他部门,万寿路八宝庄252号,136,北京市万寿路八宝庄252号,116.286134,39.920723,ok
海淀区,北京阳光儿童早期教育实验中心幼儿园,民办,民办,北京市海淀区万寿路街道翠微北里10号,137,北京市海淀区万寿路街道翠微北里10号,116.292416,39.914627,ok
海淀区,北京市海淀区立新幼儿园分园航天之星幼儿园,事业单位,事业单位,北京市海淀区永定路正大南路6号,138,北京市海淀区永定路正大南路6号,116.261597,39.908271,ok
海淀区,北京市城市河湖管理处玉樱幼儿园,其他部门,省级其他部门,海淀区西三环中路10号（玉渊潭公园南门）内,139,北京市海淀区西三环中路10号（玉渊潭公园南门）内,116.315199,39.911781,ok
海淀区,国家机关事务管理局花园村幼儿园,其他部门,省级其他部门,北京市海淀区增光路51号,140,北京市海淀区增光路51号,116.308495,39.926964,ok
海淀区,中国人民解放军总医院第六医学中心幼儿园,部队,部队,阜成路6号,141,北京市阜成路6号,116.316071,39.920996,ok
海淀区,中央民族大学幼儿园,事业单位,事业单位,海淀区法华寺原址,142,北京市海淀区法华寺原址,116.310212,39.949148,ok
海淀区,北京市海淀区紫竹院街道第二幼儿园,集体,集体,北京市海淀区魏公村小区16楼西侧,143,北京市海淀区魏公村小区16楼西侧,116.310172,39.952749,ok
海淀区,中国石油集团科学技术研究院幼儿园,事业单位,事业单位,北京市海淀区学院路20号,144,北京市海淀区学院路20号,116.351575,39.994072,ok
海淀区,北京科技大学幼儿教育中心,事业单位,事业单位,海淀区西三旗宝盛西里26号楼,145,北京市海淀区西三旗宝盛西里26号楼,116.360541,40.03418,ok
海淀区,北京科技大学幼儿教育中心学院路分园,事业单位,事业单位,海淀区学院路30号十区,146,北京市海淀区学院路30号十区,116.349999,39.992332,ok
海淀区,北京市育龙幼儿园,民办,民办,北京市海淀区清华东路东王庄小区七号,147,北京市海淀区清华东路东王庄小区七号,116.341054,39.998588,ok
海淀区,北京市海淀区未来之星幼儿园,民办,民办,海淀区学院路14号新区,148,北京市海淀区学院路14号新区,116.345491,40.002123,ok
海淀区,北京市海淀区学院路街道展春园幼儿园,集体,集体,北京市海淀区展春园小区20号,149,北京市海淀区展春园小区20号,116.335525,39.987492,ok
海淀区,北京市海淀区海淀街道厂洼幼儿园,集体,集体,北京市海淀区厂洼小区5号楼西侧,150,北京市海淀区厂洼小区5号楼西侧,116.298726,39.957833,ok
海淀区,中国人民解放军61046部队幼儿园,部队,部队,北京市海淀区青龙桥街道办事处遗光寺社区居委会,151,北京市海淀区青龙桥街道办事处遗光寺社区居委会,116.247353,40.003238,ok
海淀区,北京大学附属幼儿园,事业单位,事业单位,北京市海淀区北京大学燕东园26号,152,北京市海淀区北京大学燕东园26号,116.311846,39.995551,ok
海淀区,北京大学附属幼儿园（蔚秀分园）,事业单位,事业单位,北京市海淀区北京大学蔚秀园内,153,北京市海淀区北京大学蔚秀园内,116.296297,39.994532,ok
海淀区,北京大学附属幼儿园新馨园（北园）,事业单位,事业单位,海淀区建材城西路16号新馨苑小区内,154,北京市海淀区建材城西路16号新馨苑小区内,116.343833,40.059093,ok
海淀区,中国人民解放军北京军区炮兵幼儿园,部队,部队,北京市海淀区香山南路红旗村4号院,155,北京市海淀区香山南路红旗村4号院,116.200856,39.980262,ok
海淀区,中国人民解放军总装备部后勤部小营幼儿园,部队,部队,北京市海淀区安宁庄东路28号院5号楼,156,北京市海淀区安宁庄东路28号院5号楼,116.329158,40.040638,ok
海淀区,北京市海淀区领秀硅谷凯尔宝宝幼儿园,民办,民办,北京市海淀区西二旗中路领秀硅谷A区6号楼,157,北京市海淀区西二旗中路领秀硅谷A区6号楼,116.310471,40.05538,ok
海淀区,北京市海淀区朝昭幼儿园,民办,民办,北京市海淀区西三旗东路3号沁春家园内,158,北京市海淀区西三旗东路3号沁春家园内,116.3309,40.05518,ok
海淀区,北京市海淀区凯尔宝宝幼儿园,民办,民办,北京市海淀区西三旗花园二里11号楼,159,北京市海淀区西三旗花园二里11号楼,116.330061,40.048862,ok
海淀区,北京市海淀区四季青镇常青幼儿园,集体,集体,北京市海淀区四季青镇东冉村443号,160,北京市海淀区四季青镇东冉村443号,116.267504,39.953276,ok
海淀区,北京市海淀区四季青镇常青幼儿园田村分园,集体,集体,北京市海淀区田村街道馥霞里5号,161,北京市海淀区田村街道馥霞里5号,116.233969,39.929954,ok
海淀区,北京市海淀区四季青镇常青幼儿园蓝靛厂分园,集体,集体,北京市海淀区四季青镇东冉村443号,162,北京市海淀区四季青镇东冉村443号,116.267504,39.953276,ok
海淀区,北京市海淀区世纪汇佳幼儿园,民办,民办,北京市海淀区四季青昆明湖南路62号,163,北京市海淀区四季青昆明湖南路62号,116.272289,39.950128,ok
海淀区,北京市海淀区四季青育红幼儿园,集体,集体,北京市海淀区田村北路162号,164,北京市海淀区田村北路162号,116.233288,39.93324,ok
海淀区,北京市海淀区二十一世纪实验幼儿园,民办,民办,北京市海淀区曙光花园望河园8号楼,165,北京市海淀区曙光花园望河园8号楼,116.286267,39.941422,ok
海淀区,北京市海淀区小星星幼儿园,集体,集体,海淀区马连洼梅园小区一号,166,北京市海淀区马连洼梅园小区一号,116.267458,40.028759,ok
海淀区,北京市海淀区小星星幼儿园菊园分园,集体,集体,北京市海淀区马连洼菊园小区,167,北京市海淀区马连洼菊园小区,116.284876,40.031112,ok
海淀区,北京市海淀区西北旺屯佃村幼儿园,集体,集体,北京市海淀区西北旺镇屯佃村,168,北京市海淀区西北旺镇屯佃村,116.208413,40.063602,ok
海淀区,北京市海淀区翠湖幼儿园,集体,集体,海淀区上庄镇,169,北京市海淀区上庄镇,116.20925,40.095547,ok
海淀区,北京市海淀区苏家坨镇中心幼儿园,集体,集体,北京市海淀区苏家坨镇北安河村,170,北京市海淀区苏家坨镇北安河村,116.108144,40.068693,ok
海淀区,北京市海淀区北部新区实验幼儿园,教育部门,地级教育部门,北京市海淀区温泉镇白家疃西口,171,北京市海淀区温泉镇白家疃西口,116.174537,40.043396,ok
海淀区,北京市海淀区北部新区实验幼儿园凯盛园,教育部门,地级教育部门,北京市海淀区,172,北京市海淀区,116.291624,39.958634,ok
海淀区,北京市海淀区北部新区实验幼儿园天阅园,教育部门,地级教育部门,海淀区西北旺镇丰秀东路9号院15号楼,173,北京市海淀区西北旺镇丰秀东路9号院15号楼,116.240258,40.076371,ok
海淀区,中国人民解放军军乐团幼儿园,部队,部队,海淀区紫竹院路100号院 军乐团幼儿园,174,北京市海淀区紫竹院路100号院 军乐团幼儿园,116.293082,39.943401,ok
海淀区,空军特色医学中心蓝天幼儿园,部队,部队,海淀区昌运宫15号,175,北京市海淀区昌运宫15号,116.300043,39.93938,ok
海淀区,中国人民解放军总医院第四医学中心幼儿园,部队,部队,北京市海淀区阜成路51号院,176,北京市海淀区阜成路51号院,116.299717,39.924268,ok
海淀区,中央军委机关事务管理总局北极寺老干部服务管理局幼儿园,部队,部队,北京市海淀区花园东路8号院,177,北京市海淀区花园东路8号院,116.366966,39.981555,ok
海淀区,北京市海淀区富力桃园幼儿园,教育部门,地级教育部门,北京市海淀区西三旗建材城东里富力桃园幼儿园,178,北京市海淀区西三旗建材城东里富力桃园幼儿园,116.370223,40.061216,ok
海淀区,北京市海淀区富力桃园幼儿园枫丹分园,教育部门,地级教育部门,北京市海淀区西三旗建材城中路枫丹丽舍小区内,179,北京市海淀区西三旗建材城中路枫丹丽舍小区内,116.355843,40.062574,ok
海淀区,北京市海淀区颐慧佳园幼儿园,教育部门,地级教育部门,北京市海淀区颐慧佳园17号,180,北京市海淀区颐慧佳园17号,116.280582,39.934442,ok
海淀区,北京市海淀区美和园幼儿园,教育部门,地级教育部门,北京市海淀区清河小营西路48号,181,北京市海淀区清河小营西路48号,116.317385,40.032827,ok
海淀区,北京市海淀区美和园幼儿园智学苑分园,教育部门,地级教育部门,北京市海淀区智学苑小区美和园幼儿园智学苑分园,182,北京市海淀区智学苑小区美和园幼儿园智学苑分园,116.305457,40.048624,ok
海淀区,北京市海淀区苏家坨镇幼儿园,事业单位,事业单位,北京市海淀区苏家坨镇A地块经济适用住房A3地块,183,北京市海淀区苏家坨镇A地块经济适用住房A3地块,116.091325,40.103232,ok
海淀区,中国人民解放军总医院幼儿园,部队,部队,北京市海淀区复兴路28号,184,北京市海淀区复兴路28号,116.271283,39.905269,ok
海淀区,空军直属机关蓝天幼儿园,部队,部队,北京市海淀区复兴路14号,185,北京市海淀区复兴路14号,116.306513,39.89723,ok
海淀区,中国人民解放军66400部队幼儿园,部队,部队,北京市海淀区阜成路50号,186,北京市海淀区阜成路50号,116.284859,39.921279,ok
海淀区,北京市农林科学院幼儿园,地方企业,地方企业,北京海淀区曙光花园中路9号,187,北京市北京海淀区曙光花园中路9号,116.279714,39.942024,ok
海淀区,北京公交鸿运承幼教中心第三幼儿园,地方企业,地方企业,北京市海淀区小西天电车宿舍内,188,北京市海淀区小西天电车宿舍内,116.356572,39.956977,ok
海淀区,北京市海淀区赫泽幼儿园,民办,民办,花园北路35号院红黄蓝幼儿园,189,北京市花园北路35号院红黄蓝幼儿园,116.359926,39.981121,ok
海淀区,中国人民解放军61672部队幼儿园,部队,部队,海淀区圆明园西路5号,190,北京市海淀区圆明园西路5号,116.272805,40.022847,ok
海淀区,北京市海淀新区恩济幼儿园,教育部门,地级教育部门,海淀区苏家坨镇同泽园西里,191,北京市海淀区苏家坨镇同泽园西里,116.130746,40.103721,ok
海淀区,北京市海淀新区恩济幼儿园分园,教育部门,地级教育部门,北京市海淀区苏家坨镇同泽园东里,192,北京市海淀区苏家坨镇同泽园东里,116.133409,40.103172,ok
海淀区,中央军委机关事务管理总局红星幼儿园（新街口园）,部队,部队,新街口外大街23号院,193,北京市新街口外大街23号院,116.365165,39.955606,ok
海淀区,北京应用物理与计算数学研究所九一幼儿园,事业单位,事业单位,北京市海淀区花园路一号,194,北京市海淀区花园路一号,116.357189,39.978193,ok
海淀区,北京市海淀区智合幼儿园,民办,民办,北京海淀区清河清缘东里3号楼,195,北京市北京海淀区清河清缘东里3号楼,116.352351,40.028352,ok
海淀区,北京市海淀区宜宝幼儿园,民办,民办,北京市海淀区清河永泰园新地标甲17号,196,北京市海淀区清河永泰园新地标甲17号,116.3416,40.032496,ok
海淀区,北京市海淀区唐家岭新城幼儿园,教育部门,地级教育部门,唐家岭新城内T05,197,北京市唐家岭新城内T05,116.270383,40.065242,ok
海淀区,北京市海淀区乐融幼儿园,民办,民办,北京海淀区通汇路18号,198,北京市北京海淀区通汇路18号,116.26401,39.937002,ok
海淀区,北京市海淀区为明西山幼儿园,民办,民办,北京市海淀区西北旺新村德惠路一号院29楼,199,北京市海淀区西北旺新村德惠路一号院29楼,116.305759,40.038091,ok
海淀区,北京市海淀区何嘉仁菁英幼儿园,民办,民办,海淀区 文慧园北路9号 今典花园小区 西北角 独栋楼,200,北京市海淀区 文慧园北路9号 今典花园小区 西北角 独栋楼,116.355149,39.952327,ok
海淀区,北京市海淀区上林溪二十一世纪实验幼儿园,民办,民办,北京市海淀区安宁庄东路上林溪小区安宁华庭11号楼,201,北京市海淀区安宁庄东路上林溪小区安宁华庭11号楼,116.318788,40.044617,ok
海淀区,北京市海淀区龙岗路幼儿园,其他部门,地级其他部门,北京市海淀区清河龙岗路甲25号,202,北京市海淀区清河龙岗路甲25号,116.356953,40.029644,ok
海淀区,北京市海淀区为明实验幼儿园,民办,民办,海淀区四季青巨山路燕西台嘉苑小区甲21号,203,北京市海淀区四季青巨山路燕西台嘉苑小区甲21号,116.218932,39.944895,ok
海淀区,北京市海淀区北京师范大学实验幼儿园牡丹园分园幼儿园,民办,民办,北土城西路牡丹东里18号,204,北京市北土城西路牡丹东里18号,116.366701,39.976155,ok
海淀区,北京市海淀区亿城蓝天幼儿园,民办,民办,北京市海淀区马连洼竹园小区,205,北京市海淀区马连洼竹园小区,116.269867,40.03074,ok
海淀区,北京市海淀区民族幼儿园,教育部门,地级教育部门,北京市海淀区马甸玉兰园小区2号楼,206,北京市海淀区马甸玉兰园小区2号楼,116.345321,39.983166,ok
海淀区,北京市海淀区蓝宝特幼儿园,民办,民办,北京市海淀区四道口路1号8号楼,207,北京市海淀区四道口路1号8号楼,116.337978,39.960978,ok
海淀区,北京市海淀区培杰幼儿园,民办,民办,北京市海淀区黑泉路宝盛里观林园小区34号,208,北京市海淀区黑泉路宝盛里观林园小区34号,116.366755,40.037597,ok
海淀区,北京市海淀区东方博凯幼儿园,民办,民办,闵庄南路9号,209,北京市闵庄南路9号,116.240924,39.96572,ok
海淀区,北京市海淀区中关村科学城北区柳林幼儿园,集体,集体,北京市海淀区苏家坨镇柳林村河北三区62号,210,北京市海淀区苏家坨镇柳林村河北三区62号,116.134844,40.082227,ok
海淀区,北京市海淀区绿橙幼儿园,民办,民办,北京市海淀区田村路街道西木社区汤泉逸墅15栋,211,北京市海淀区田村路街道西木社区汤泉逸墅15栋,116.265798,39.936502,ok
海淀区,北京市福娃娃特殊教育中心,事业单位,事业单位,北京市海淀区清河三街52号,212,北京市海淀区清河三街52号,116.337737,40.026166,ok
海淀区,北京市海淀区大风车幼儿园,民办,民办,首体南路1号院,213,北京市首体南路1号院,116.3171,39.936838,ok
海淀区,北京市海淀区红黄蓝颐东苑幼儿园,民办,民办,北京市海淀区西苑100号颐东苑小区内,214,北京市海淀区西苑100号颐东苑小区内,116.634211,40.314808,ok
海淀区,北京市海淀区七一小学附属实验幼儿园,教育部门,地级教育部门,北京市海淀区莲熙嘉园9号,215,北京市海淀区莲熙嘉园9号,116.293631,39.894894,ok
海淀区,北京市海淀区玉渊潭实验幼儿园,集体,集体,北京市海淀区八里庄街道彰化南路五福玲珑居南区,216,北京市海淀区八里庄街道彰化南路五福玲珑居南区,116.280162,39.936756,ok
海淀区,北京十一晋元幼儿园,教育部门,地级教育部门,海淀区上庄大街与田村山南路交汇,217,北京市海淀区上庄大街与田村山南路交汇,116.223796,39.919499,ok
