序号,运营商,充电站点标准名称,服务类型,区县具体地址,快充接口数,慢充接口数,地域范围,所在地类型
435,万马爱充,北京市稻香湖景酒店,社会公用,北京市海淀区稻香湖路稻香湖酒店,25,0,五环至六环,酒店宾馆
436,特来电,北京亿城国际中心充电站,社会公用,海淀区马连洼北路168号地下2层停车场,4,2,五环至六环,商务办公区
448,华商三优,海淀区鹏晟伟业清河优易充小站,社会公用,海淀区八达岭高速清河小营桥北马路西300米,2,0,五环至六环,车企4S店
451,华商三优,海淀区北京工商大学西校区优易充小站,社会公用,海淀区北京工商大学西校区图书馆附近,2,0,二环至三环,其他
452,华商三优,海淀区大钟寺家居广场优易充小站,社会公用,海淀区北三环西路蓝景丽家大钟寺家居广场南,2,0,三环至四环,其他
453,华商三优,海淀区节能大厦优易充小站,社会公用,海淀区西直门北大街道路东侧节能大厦门前,2,0,二环至三环,其他
454,华商三优,海淀区远大路优易充小站,社会公用,海淀区远大路鲁园上河村,2,0,三环至四环,其他
456,华商三优,海淀区北京邮电大学优易充小站,社会公用,海淀区北太平庄学院南路道路北京邮电大学旁,2,0,二环至三环,其他
467,中石油昆仑网电,方圆大厦,社会公用,海淀区中关村南大街甲56号地下停车场,3,3,二环至三环,商务办公区
474,庞大驿联,北京中国农业大学西校区充电站,社会公用,（北五环）北京市海淀区圆明园西路2号,2,12,五环至六环,教育院校
476,特来电,北京用友软件园充电站,社会公用,北京市海淀区北清路68号用友软件园西区,6,12,五环至六环,产业园区
485,特来电,北京金泰海博酒店充电站,社会公用,北京市海淀区西四环北路136号,2,8,三环至四环,酒店宾馆
553,北京电力公司,北京市海淀区永泰绿色生态园公共充电站,社会公用,北京市海淀区永泰庄北路9号永泰绿色生态园,8,0,五环至六环,酒店宾馆
588,北京电力公司,北京市海淀区宋庆龄基金会北侧公共充电站,社会公用,北京市海淀区玉渊潭南路11号院宋庆龄儿童科技馆,27,0,二环至三环,政府机构
651,北京驿联,北京海淀区东升科技园充电站点,社会公用,西小口路66号中关村 东升科技园,2,0,五环至六环,科技园区
680,特来电,北京京仪大厦充电站,社会公用,北京市市辖区海淀区^大钟寺东路9号-a座-1-～4楼,6,6,三环至四环,商务办公区
686,特来电,北京市海淀国际学校充电站,社会公用,北京市市辖区海淀区^行集寺路,3,0,四环至五环,教育院校
711,小桔充电,北京尚东数字山谷充电站,社会公用,海淀区东北旺西路8号院28号,2,0,五环至六环,科技园区
722,中石油昆仑网电,海淀区京宝行地上公共充电站,社会公用,北京市海淀区学院路34号,0,1,四环至五环,车企4S店
896,北京电力公司,北京市海淀区百望山森林公园北门公共充电站,社会公用,北京市海淀区百望山森林公园北门停车场,8,0,五环至六环,城市公园绿地
897,北京电力公司,北京市海淀区国防教育基地公共充电站,社会公用,北京市海淀区四季青桥东北角国防教育基地,8,0,三环至四环,教育院校
898,北京电力公司,北京市海淀区上地西街东大停车场公共充电站,社会公用,北京市海淀区后厂村路北侧东大停车场,40,12,五环至六环,公共停车场
899,北京电力公司,北京市海淀区玉泉慧谷二期南侧公共充电站,社会公用,北京市海淀区邓庄路玉泉慧谷2期中国民生银行北京香山支行南侧停车场,24,0,五环至六环,工业园区/厂区
900,北京电力公司,北京市海淀区振东科技大厦公共充电站,社会公用,北京市海淀区北京振东五和生物科技有限公司内部停车场,3,2,五环至六环,工业园区/厂区
901,北京电力公司,北京市海淀区中国林业科学院公共充电站,社会公用,北京市海淀区青龙桥街道中国林业科学研究院院内停车场,8,0,四环至五环,政府机构
902,北京电力公司,北京市海淀区中科院物理所北院公共充电站,社会公用,北京市海淀区中关村南三街8号中科院物理所北院停车场,14,2,三环至四环,教育院校
904,北京电力公司,北京市海淀区中关村军民融合产业园公共充电站,社会公用,北京市海淀区中关村军民融合产业园地下停车场,16,0,三环至四环,工业园区/厂区
905,北京电力公司,北京市海淀区中科院物理所南院公共充电站,社会公用,北京市海淀区中关村南三街8号中科院基础科学园区M楼东侧,12,4,三环至四环,教育院校
906,北京电力公司,北京市海淀区中航工业勘察设计研究院公共充电站,社会公用,北京海淀区中关村东路中航工业勘察设计研究院对面拓中航市场停车场,2,4,三环至四环,公共停车场
978,依威能源,海淀四十七中,社会公用,苏家坨镇北安河五街291号地面停车场,0,10,六环外,公共停车场
1006,富电易充,万柳公寓三区外围光伏充电站,社会公用,北京市海淀区万柳中路29号院,6,0,三环至四环,教育院校
1015,万城万充,中关村展示中心充电站,社会公用,北京市海淀区新建宫门路2号院4号门内侧,6,0,四环至五环,企事业单位
1025,万城万充,辉煌国际广场充电站,社会公用,北京市海淀区上地十街1号院地下二层停车场,10,0,五环至六环,商业区
1049,优盛智控,创客小镇充电站,社会公用,北京市海淀区向山路辅路中关村创客小镇,4,0,五环至六环,公共停车场
1054,易达新能,数字传媒大厦,社会公用,北京市海淀区信息路7号数字传媒大厦,0,2,五环至六环,商业区
1060,万马爱充,万马爱充东大停车场（南区）,社会公用,北京市海淀区上地西路与G7京新高速出口交叉口西南50米东大停车场内,40,0,五环至六环,公共停车场
1061,万马爱充,万马爱充东大停车场站（北区）,社会公用,北京市海淀区上地西路与G7京新高速出口交叉口西南50米东大停车场内,72,0,五环至六环,公共停车场
1064,北京驿联,北京海淀区航空航天大学本校IRC大楼南侧充电站,社会公用,北京市海淀区学院路37号,6,7,三环至四环,教育院校
1065,北京驿联,北京海淀区航空航天大学本校校医院西侧充电站,社会公用,北京市海淀区学院路37号,0,7,三环至四环,教育院校
1066,北京驿联,北京市东北旺百旺绿荫停车场充电站,社会公用,北京市海淀区东北旺南路33号,22,0,五环至六环,公共停车场
1067,北京驿联,北京语言大学充电站,社会公用,北京市海淀区学院路15号,2,6,四环至五环,教育院校
1068,北京驿联,北京市海淀区师范大学科技楼西侧停车场,社会公用,北京市海淀区新街口外大街19号科技楼西侧,2,6,二环至三环,教育院校
1075,一充科技,北京海淀银网中心充电站,社会公用,知春路113号银网中心地下二层停车场,8,0,三环至四环,商务办公区
1081,高陆通,唐家岭站,社会公用,北京市海淀区西北旺镇友谊路81号,32,0,六环外,村镇
1088,华商三优,海淀区城建大厦优易充小站,社会公用,海淀区北太平庄路18号,3,0,三环至四环,商务办公区
1114,北京驿联,北京市天地邻枫地下停车场充电站,社会公用,北京市海淀区永泰庄北路1号天地邻枫产业园地下停车场,0,6,五环至六环,商务办公区
1127,北京电力公司,北京市海淀区五棵松体育中心充电站,社会公用,北京市海淀区复兴路69号华熙liveB2停车场A区,80,120,三环至四环,大型商业购物中心
1129,新巢智能,益园文化创意产业基地,社会公用,北京市海淀区杏石口路80号益园文化产业基地,10,5,四环至五环,产业园区
1135,京能电力,北京市海淀区大运村立体停车设施充储站,社会公用,知春路与新村路交叉口西北角,40,0,三环至四环,公共停车场
1138,一充科技,北京海淀沁春汇充电站,社会公用,建材城西路62号北京沁春家园北门外地面停车场,6,0,五环至六环,商业区
1139,吉事能源,北科大体育馆地上充电站,社会公用,北京市海淀区学院路30号,6,14,四环至五环,教育院校
1140,新巢智能,金园国际中心,社会公用,北京市海淀区东冉北街9号,6,12,四环至五环,产业园区
1163,北京碧辟新能源,海淀区中华世纪坛停车场,社会公用,北京市海淀区复兴路甲9号,4,0,二环至三环,旅游景点
1171,北京碧辟新能源,海淀区中关村资本大厦,社会公用,北京市海淀区学院路62号,4,0,二环至三环,商务办公区
1173,吉事能源,北京中关村西区地下充电站,社会公用,北京市海淀区彩和坊路8号地下车库B3层H区,0,30,三环至四环,商务办公区
1198,北京电力公司,北京市海淀区中间艺术区城市充电站,社会公用,北京市海淀区杏石口路南,3,6,四环至五环,商业区
1199,北京电力公司,北京市海淀区玉泉商业中心停车场充电站,社会公用,北京市海淀区玉泉路6号院,8,0,四环至五环,商业区
1200,北京电力公司,北京市海淀区友谊宾馆充电站,社会公用,北京市海淀区中关村南大街1号,4,2,二环至三环,酒店宾馆
1201,北京电力公司,北京市海淀区首都师范大学东1区公共充电站,社会公用,北京市海淀区白锥子甲23号院,8,0,二环至三环,教育院校
1216,润诚达,北京舞蹈学院,社会公用,北京市海淀区万寿寺路1号,6,0,二环至三环,教育院校
1220,海悦明宇,北京海淀依斯特大厦充电站,社会公用,北京市海淀区四季青镇东冉北街依斯特大厦,10,0,四环至五环,公共停车场
1294,智通充电,八家嘉园园区地面停车位,社会公用,海淀区月泉路八家嘉园园区地面停车场,0,6,四环至五环,公共停车场
1295,智通充电,燕清源,社会公用,海淀区清河毛纺路26号,0,6,四环至五环,公共停车场
1296,智通充电,永丰嘉园四期,社会公用,北京市海淀区永泽北路6号,0,11,五环至六环,公共停车场
1302,智通充电,八家嘉园地下停车场,社会公用,海淀区月泉路八家嘉园地下停车场,0,7,四环至五环,公共停车场
1306,协鑫瑞通,主语国际中心地下停车场充电站,社会公用,北京市海淀区首体南路主语国际7座B3层,2,2,二环至三环,商务办公区
1332,吉事能源,北京金五星科技园充电站,社会公用,北京市海淀区中关村东路118号南门停车场,24,0,三环至四环,科技园区
1355,开迈斯,北京市嘉友国际大厦直流充电站,社会公用,北京市海淀区蓝靛厂南路25号嘉友国际大厦,2,0,三环至四环,商务办公区
1356,开迈斯,北京市嘉友国际大厦目的地充电站,社会公用,北京市海淀区蓝靛厂南路25号嘉友国际大厦,2,0,三环至四环,商务办公区
1369,京电光华,京电西山商业大厦充电站,社会公用,北京市海淀区杏石口路69号,2,0,四环至五环,大型商业购物中心
1394,北京碧辟新能源,海淀区远大路充电站,社会公用,北京市海淀区曙光街道昆明湖南路12号,20,0,三环至四环,商业区
1402,开迈斯,北京市海淀高科岭直流站,社会公用,北京市海淀区东北旺西路8号中关村软件园17号楼B1层,3,0,五环至六环,产业园区
1403,开迈斯,北京市海淀区领展购物广场直流站,社会公用,领展购物广场&middot;中关村丹棱街与榆树林北路交叉口东北方向48米,10,0,三环至四环,大型商业购物中心
1404,北京壳牌,壳牌安河桥北商业楼充电站,社会公用,北京市海淀区龙背村路安河桥北物美大卖场地下停车场,22,0,五环至六环,大型商业购物中心
1448,惠车充,北京国际大厦,社会公用,北京市海淀区北下关街道中关村南大街甲18号北京·国际大厦北侧,8,0,二环至三环,商务办公区
1452,一充科技,北京海淀嘉豪国际充电站,社会公用,北京市海淀区嘉豪国际大厦地面停车场,8,0,三环至四环,商务办公区
1453,一充科技,北京海淀今日家园充电站,社会公用,北京市海淀区今日家园商业中心地下B1停车场,8,0,四环至五环,商业区
1459,星星充电,中国农业大学教授小楼,社会公用,北北京市海淀区圆明园西路3号院教授小楼西侧停车场,0,15,五环至六环,教育院校
1460,中能慧通,北京市海淀区中能慧通四季青镇西冉村委会兴业新村西区充电站,社会公用,四季青镇旱河路35号,10,0,四环至五环,其他
1462,中能慧通,中能慧通公主坟新兴宾馆充电站,社会公用,北京市海淀区三环中路17号公主坟新兴宾馆停车场,2,5,三环至四环,其他
1484,特来电,北京市海淀区西四环北路119号充电站,社会公用,北京市海淀区四季青镇爱家家居(西四环商城店)金四季购物中心,8,0,三环至四环,产业园区
1503,特来电,北京通厦公元99充电站,社会公用,北京市海淀区西三旗街道G6辅路通厦·公元99地上停车场西南侧,15,0,五环至六环,大型商业购物中心
1507,智通充电,三里河五号院充电站,社会公用,北京市海淀区进口社区三里河路5号院,0,6,二环至三环,公共停车场
1508,智通充电,铭科苑小区,社会公用,北京市海淀区西二旗中路与西二旗大街交叉口南50米西二旗铭科苑(东北2门),0,9,五环至六环,公共停车场
1509,智通充电,永丰嘉园一期,社会公用,北京市海淀区永泽北路6号,0,6,五环至六环,公共停车场
1510,智通充电,永丰嘉园三期,社会公用,北京市海淀区永泽北路6号,0,6,五环至六环,公共停车场
1511,智通充电,永丰嘉园五期,社会公用,北京市海淀区永泽北路6号,0,6,五环至六环,公共停车场
1518,智通充电,西三环北路23号,社会公用,北京市海淀区西三环北路23号院,0,12,三环至四环,公共停车场
1563,北京电力公司,北京市海淀区香山公园2号停车场充电站,社会公用,北京市海淀区香山公园2号停车场（香泉环岛西北角）,15,0,五环至六环,旅游景点
1573,北京电力公司,北京市海淀区温泉人家公共充电站,社会公用,北京市海淀区白家瞳东路9号温泉体育中心院内正东方向160米,2,0,五环至六环,公共停车场
1578,北京电力公司,北京市海淀区香山公园3号停车场充电站,社会公用,北京市海淀区香山路香山公园3号停车场（香泉环岛西南角）,5,0,五环至六环,旅游景点
1586,星星充电,定慧产业园充电站,社会公用,北京市海淀区西四环中路6号停车场二层西侧,48,0,四环至五环,商务办公区
1600,重友新能源,(公共站)中关村国防科技园充电站,社会公用,北京市海淀区西三环北路甲2号,0,14,二环至三环,商务办公区
1603,隆瑞三优,(公共站)海淀区水科院南院瑞智充小站,社会公用,海淀区水科院大厦玉渊潭南路1号,20,4,二环至三环,科研院所
1644,蓝谷极狐,极狐-中关村发展大厦充电站,社会公用,海淀区中关村发展大厦,0,5,五环至六环,科技园区
1657,泛充科技,超级饭电五棵松华熙站,社会公用,北京北京市海淀区复兴路69号院12号地下二层停车场,6,0,三环至四环,大型商业购物中心
1703,开迈斯,北京市海淀区京果商厦直流站,社会公用,四道口路2号,3,0,二环内,商务办公区
1707,开迈斯,北京市海淀文化艺术大厦直流站,社会公用,北京市海淀区中关村街道知春路海淀剧院中关村大街与知春路交叉口东侧108米,16,0,二环内,商务办公区
1709,特来电,中国人民大学立德楼地库充电站,社会公用,北京市市辖区海淀区海淀街道中国人民大学,2,6,三环至四环,教育院校
1713,特来电,北京四季青医院充电站,社会公用,北京市市辖区海淀区远大路32号,3,0,三环至四环,医疗机构
1719,吉事能源,吉事充五道口嘉园充电站,社会公用,北京市海淀区学院路街道暂安处2号院五道口嘉园,6,0,四环至五环,公共停车场
1728,中石油昆仑网电,北京市海淀区玲珑天地充电站,社会公用,北京市海淀区金隅大成玲珑天地停车场,9,0,三环至四环,商务办公区
1755,高平安,北京海淀百旺绿荫充电站,社会公用,北京海淀区东北旺南路33号百旺绿茵停车场东南角,18,0,五环至六环,公共停车场
1762,开迈斯,北京市海淀区大钟寺怡和8号院直流站,社会公用,北京市海淀区四道口北街大钟寺8号,8,0,二环至三环,商务办公区
1780,蓝谷极狐,极狐-五棵松冰上中心超充站,社会公用,海淀区复兴路69号,12,0,三环至四环,体育场馆
1784,泛充科技,超级饭电绿海大厦充电站,社会公用,北京市海淀区永澄北路2号院停车场北侧,8,0,五环至六环,产业园区
1816,星星充电,艾瑟顿国际公寓,社会公用,中关村海淀南路34号艾瑟顿国际公寓B1停车场,6,6,五环至六环,商务办公区
1831,高平安,北京海淀东软研发中心充电站,社会公用,北京市海淀区西北旺东路10号院东区22号楼,8,0,五环至六环,商务办公区
1841,海实电力,北京市海淀区中国共产主义青年团中央团校充电站,社会公用,北京市海淀区西三环北路25号,0,36,三环至四环,教育院校
1842,海实电力,北京市海淀区闵庄南路9号玉泉馨园生活广场充电站,社会公用,北京市海淀区闵庄南路9号,4,5,四环至五环,商业区
1929,特斯拉上海,北京市海润大厦,社会公用,海淀南路36号美华海润大厦地上停车场（入口：海淀南路-西北1门）,50,0,三环至四环,商务办公区
2006,特斯拉上海,中关村东升国际科学园,社会公用,北京市海淀区永泰庄北路1号东升科技园B-6号楼地下二层05-06,0,2,三环至四环,科技园区
2028,碧辟北京,BP快速充电站（北京海淀田村路23号院）,社会公用,田村路23号院,12,0,四环至五环,公共停车场
2034,北京碧辟新能源,海淀区蓝景丽家大钟寺充电站,社会公用,中关村街道北三环西路219号,18,0,五环至六环,商业区
2035,北京碧辟新能源,海淀区中关村公园南门充电站,社会公用,西北旺镇唐家岭路中关村公园南门,36,0,五环至六环,体育场馆
2046,北京碧辟新能源,海淀区西山商业大厦充电站,社会公用,北京市海淀区杏石口路69号停车场西侧小车场,34,0,三环至四环,商业区
2065,乾华利和,海淀区北坞创新园超级充电站,社会公用,北京市海淀区四季青镇北坞创新园南区3号园区西侧,10,0,四环至五环,科技园区
2066,乾华利和,北京工业锅炉集团超级充电站,社会公用,北京市海淀区北京工业锅炉集团东一门,4,0,四环至五环,公共停车场
2067,乾华利和,北京金四季购物中心充电站,社会公用,北京市海淀区四季青镇金四季购物中心停车场东侧,18,0,四环至五环,大型商业购物中心
2092,高平安,北京海淀唐家岭红英小学南充电站,社会公用,海淀区唐家岭红英小学南侧空场内,36,0,五环至六环,公共停车场
2122,全来电,海淀镇功德寺社区居委会楼后停车区,社会公用,海淀镇功德寺社区居委会楼后停车区,0,1,四环至五环,旅游景点
2133,天开快充,北京市海淀区金玉府充电站,社会公用,上庄大街金玉府23号楼B3,0,22,五环至六环,公共停车场
2162,重友新能源,(公共站)海淀万枫酒店充电站,社会公用,北京市海淀区翠湖北环路2号院,2,6,五环至六环,产业园区
2206,极氪能源,北京中关村公园南门停车场极充站,社会公用,北京市海淀区唐家岭土井村路45号中关村公园（东南角）地面停车位,10,0,四环至五环,公共停车场
2229,梅芳寻语,西三旗快速充电站,社会公用,北京市海淀区西三旗育新花园南50米（后屯路西）,36,0,五环至六环,公共停车场
2258,五彩飞扬,五彩飞扬海淀区蓝靛厂西路11号世纪华天大酒店停车场充电站,社会公用,北京市海淀区蓝靛厂西路11号世纪华天大酒店停车场,20,0,三环至四环,酒店宾馆
2283,极氪能源,北京海淀悦界主题街区极充站,社会公用,北京市海淀区大牛房一巷与大牛房二环路交叉口南60米悦界主题街区地下停车场负二层,4,0,四环至五环,公共停车场
2290,海实电力,长峰假日酒店充电站,社会公用,北京市海淀区永定路66号院内,4,2,四环至五环,酒店宾馆
2327,广州小鹏,北京蓝景丽家大钟寺家居S4小鹏超快充站,社会公用,蓝景丽家地面车位（入口：北三环西路辅路），北京市海淀区北三环西路23号院,6,0,三环至四环,商业区
2328,广州小鹏,北京启迪科技大厦小鹏超充站,社会公用,启迪科技大厦地下B3层（入口：中庭路）876-881号充电车位，北京市海淀区清华园街道中关村东路1号院,6,0,四环至五环,商务办公区
2329,广州小鹏,北京理想国际大厦小鹏超充站,社会公用,理想国际大厦地下B3层（入口：海淀北一街）341-349及353-361单数车位，北京市海淀区北四环西路58号,10,0,三环至四环,商务办公区
2330,广州小鹏,北京中国电子大厦小鹏超充站,社会公用,电子大厦A座地下B3层F区（入口：海定中街）F06-F11车位，北京市海淀区丹棱街3号,6,0,三环至四环,商务办公区
2332,广州小鹏,北京印象城翠微店S4小鹏超快充站,社会公用,印象城翠微店地下B2层（入口：玉渊潭南路），北京市海淀区翠微路12号,4,0,三环至四环,大型商业购物中心
2349,隆瑞三优,隆瑞三优西黄庄超级充电站,社会公用,北京市海淀区远大路39号院-2号,4,0,三环至四环,其他
2360,隆瑞三优,隆瑞三优香泉环岛超级充电站,社会公用,北京市海淀区香泉环岛1号,4,0,五环至六环,其他
2368,中石油昆仑网电,中国矿业大学学院路校区充电站,社会公用,北京海淀区学院路丁11号东1们进直行500米右转再直行200米侧逸夫楼旁边,4,6,四环至五环,教育院校
2377,蔚来,蔚来超充站北京理想国际大厦,社会公用,北京市海淀区北四环西路58号,7,0,三环至四环,商务办公区
2378,蔚来,蔚来超充站北京海淀西黄庄,社会公用,北京市海淀区曙光街道远大路远大路39-2号院(南坞桥东南500米),2,0,三环至四环,酒店宾馆
2380,蔚来,蔚来超充站中关村公园,社会公用,北京市海淀区土井村路甲49号,2,0,五环至六环,城市公园绿地
2384,蔚来,蔚来超充站北京百度科技园K1,社会公用,北京市海淀区西北旺东路10号院(马连洼街道西北旺社区东北方向),16,12,五环至六环,科技园区
2400,蔚来,蔚来超充站北京海淀北坞创新园,社会公用,北京市海淀区北坞村路23号,4,0,四环至五环,产业园区
2411,蔚来,蔚来超充站北京永泰庄观林园,社会公用,北京市海淀区清河宝盛里观林园(黑泉路东),4,0,五环至六环,城市公园绿地
2412,蔚来,蔚来超充站北京清河水木天成,社会公用,北京市海淀区G6辅路与清河路交叉口东北方向60米,2,0,五环至六环,体育场馆
2415,蔚来,蔚来超充站北京朗丽兹西山花园酒店,社会公用,北京市海淀区丰智东路13号,12,0,五环至六环,酒店宾馆
2417,蔚来,蔚来超充站北京西站,社会公用,北京市海淀区北蜂窝西路与莲花池东路辅路交叉口正西方向101米,4,0,二环至三环,火车站
2492,碧辟北京,BP快速充电站（北京海淀唐家岭停车场）,社会公用,北京市海淀区唐家岭规划一路中关村公园南门停车场,32,0,五环至六环,公共停车场
2494,碧辟北京,BP快速充电站（北京海淀万寿宾馆）,社会公用,万寿路甲12号,20,0,三环至四环,酒店宾馆
2495,碧辟北京,BP慢充站（北京海淀万寿宾馆）,社会公用,万寿路甲12号,0,4,三环至四环,酒店宾馆
2500,京电博源,（公共站）北京市海淀区中关村集成电路设计园2号楼C座地下二层停车场公共充电站,社会公用,北京市海淀区中关村集成电路设计园2号楼D座地下二层停车场,8,2,五环至六环,村镇
2501,京电博源,（公共站）北京市海淀区中关村集成电路设计园2号楼D座地下二层停车场公共充电站,社会公用,北京市海淀区中关村集成电路设计园2号楼D座地下二层停车场,8,2,五环至六环,村镇
2572,广汽能源,昊铂北京百旺绿茵超充站,社会公用,北京市海淀区上地街道东北旺路蓝天停车-百旺绿荫地面停车场,4,0,五环至六环,公共停车场
